paper_id	area_id
i13_0027	05
i13_0028	02
i13_0029	04
i13_0030	08
i13_0031	01
i13_0033	09
i13_0034	09
i13_0035	02
i13_0036	02
i13_0037	03
i13_0038	05
i13_0039	06
i13_0040	10
i13_0041	08
i13_0042	01
i13_0043	07
i13_0044	06
i13_0045	02
i13_0046	01
i13_0047	03
i13_0048	05
i13_0049	04
i13_0050	01
i13_0051	05
i13_0052	05
i13_0054	01
i13_0055	02
i13_0056	05
i13_0057	07
i13_0058	01
i13_0059	01
i13_0066	07
i13_0067	03
i13_0068	05
i13_0069	05
i13_0070	02
i13_0071	10
i13_0072	02
i13_0073	03
i13_0074	03
i13_0075	03
i13_0076	01
i13_0077	07
i13_0078	11
i13_0079	09
i13_0080	11
i13_0081	09
i13_0082	01
i13_0084	06
i13_0085	02
i13_0086	09
i13_0087	10
i13_0089	11
i13_0090	05
i13_0091	07
i13_0092	06
i13_0093	01
i13_0094	08
i13_0095	01
i13_0096	09
i13_0097	09
i13_0098	07
i13_0099	09
i13_0100	09
i13_0101	05
i13_0102	01
i13_0103	10
i13_0104	04
i13_0106	02
i13_0107	10
i13_0108	10
i13_0109	09
i13_0110	07
i13_0111	08
i13_0112	06
i13_0113	11
i13_0114	08
i13_0115	01
i13_0116	10
i13_0117	09
i13_0118	10
i13_0119	02
i13_0120	05
i13_0121	07
i13_0122	04
i13_0123	02
i13_0124	05
i13_0125	07
i13_0126	09
i13_0127	01
i13_0128	08
i13_0129	01
i13_0130	09
i13_0132	02
i13_0133	07
i13_0134	06
i13_0135	03
i13_0136	01
i13_0137	09
i13_0138	07
i13_0139	09
i13_0140	08
i13_0141	10
i13_0142	08
i13_0143	05
i13_0144	05
i13_0145	07
i13_0146	07
i13_0147	10
i13_0148	10
i13_0149	02
i13_0150	05
i13_0152	02
i13_0153	01
i13_0154	06
i13_0155	07
i13_0156	06
i13_0157	06
i13_0158	01
i13_0159	06
i13_0160	05
i13_0161	02
i13_0162	07
i13_0163	05
i13_0164	05
i13_0165	07
i13_0166	05
i13_0167	07
i13_0168	05
i13_0169	10
i13_0170	10
i13_0171	05
i13_0172	03
i13_0173	10
i13_0174	06
i13_0175	05
